CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
91-64-5,c12c(C=CC(=O)O1)cccc2,Inactive,
91-66-7,c1(N(CC)CC)ccccc1,Inactive,
92-52-4,c1(-c2ccccc2)ccccc1,Inactive,
92-68-2,c1(C(C)(C)c2ccc(O)cc2)ccc(O)cc1,Inactive,
92-87-5,c1(-c2ccc(N)cc2)ccc(N)cc1,Inactive,
93-15-2,c1(OC)c(OC)cc(CC=C)cc1,Inactive,
94-13-3,C(=O)(c1ccc(O)cc1)OCCC,Inactive,
94-26-8,C(=O)(c1ccc(O)cc1)OCCCC,Inactive,
94-28-0,C(=O)(C(CCCC)CC)OCCOCCOCCOC(=O)C(CCCC)CC,Inactive,
94-74-6,c1(OCC(=O)O)c(C)cc(Cl)cc1,Inactive,
94-75-7,c1(OCC(=O)O)c(Cl)cc(Cl)cc1,Inactive,
94-82-6,c1(OCCCC(=O)O)c(Cl)cc(Cl)cc1,Inactive,
95-14-7,c12c(cccc1)N=NN2,Inactive,
95-48-7,c1(O)c(C)cccc1,Inactive,
95-49-8,c1(Cl)c(C)cccc1,Inactive,
95-50-1,c1(Cl)c(Cl)cccc1,Inactive,
95-53-4,c1(N)c(C)cccc1,Active,
95-57-8,c1(Cl)c(O)cccc1,Inactive,
95-63-6,c1(C)c(C)cc(C)cc1,Inactive,
95-65-8,c1(C)c(C)cc(O)cc1,Inactive,
95-87-4,c1(C)c(O)cc(C)cc1,Inactive,
95-94-3,c1(Cl)c(Cl)cc(Cl)c(Cl)c1,Inactive,
95-95-4,c1(Cl)c(Cl)cc(Cl)c(O)c1,Inactive,
96-09-3,c1(C2CO2)ccccc1,Inactive,
96-18-4,C(Cl)(CCl)CCl,Inactive,
96-23-1,C(O)(CCl)CCl,Inactive,
96-29-7,C(C)(CC)N=O,Inactive,
96-48-0,C1(=O)CCCO1,Inactive,
97-53-0,c1(O)c(OC)cc(CC=C)cc1,Active,
97-54-1,c1(O)c(OC)cc(C=CC)cc1,Active,
97-77-8,C(=S)(N(CC)CC)SSC(=S)N(CC)CC,Inactive,
98-01-1,C1(C=O)=CC=CO1,Inactive,
98-06-6,C(C)(C)(C)c1ccccc1,Inactive,
98-07-7,C(Cl)(Cl)(Cl)c1ccccc1,Inactive,
98-86-2,C(C)(=O)c1ccccc1,Inactive,
98-87-3,c1(C(Cl)Cl)ccccc1,Inactive,
98-95-3,c1(N(=O)=O)ccccc1,Inactive,
99-08-1,c1(N(=O)=O)cc(C)ccc1,Inactive,
99-30-9,c1(Cl)c(N)c(Cl)cc(N(=O)=O)c1,Inactive,
99-51-4,c1(C)c(C)cc(N(=O)=O)cc1,Inactive,
99-54-7,c1(Cl)c(Cl)cc(N(=O)=O)cc1,Inactive,
99-55-8,c1(C)c(N)cc(N(=O)=O)cc1,Inactive,
99-59-2,c1(OC)c(N)cc(N(=O)=O)cc1,Active,
99-62-7,c1(C(C)C)cc(C(C)C)ccc1,Inactive,
99-65-0,c1(N(=O)=O)cc(N(=O)=O)ccc1,Inactive,
99-66-1,C(=O)(O)C(CCC)CCC,Inactive,
99-76-3,C(=O)(c1ccc(O)cc1)OC,Inactive,
99-87-6,c1(C(C)C)ccc(C)cc1,Inactive,
99-97-8,c1(N(C)C)ccc(C)cc1,Active,
99-99-0,c1(N(=O)=O)ccc(C)cc1,Inactive,
100-00-5,c1(Cl)ccc(N(=O)=O)cc1,Inactive,
100-01-6,c1(N)ccc(N(=O)=O)cc1,Inactive,
100-37-8,C(O)CN(CC)CC,Inactive,
100-51-6,c1(CO)ccccc1,Inactive,
100-54-9,C(#N)c1cccnc1,Inactive,
100-97-0,C1N2CN3CN(CN1C3)C2,Inactive,
101-02-0,c1(OP(Oc2ccccc2)Oc2ccccc2)ccccc1,Active,
101-10-0,C(=O)(O)C(C)Oc1cc(Cl)ccc1,Inactive,
101-21-3,c1(Cl)cc(NC(=O)OC(C)C)ccc1,Inactive,
101-54-2,c1(N)ccc(Nc2ccccc2)cc1,Active,
101-55-3,c1(Br)ccc(Oc2ccccc2)cc1,Inactive,
101-77-9,c1(N)ccc(Cc2ccc(N)cc2)cc1,Active,
101-80-4,c1(Oc2ccc(N)cc2)ccc(N)cc1,Active,
101-86-0,c1(C=C(C=O)CCCCCC)ccccc1,Inactive,
102-06-7,c1(NC(=N)Nc2ccccc2)ccccc1,Inactive,
102-27-2,c1(NCC)cc(C)ccc1,Active,
102-60-3,C(C)(O)CN(CC(C)O)CCN(CC(C)O)CC(C)O,Inactive,
102-71-6,C(O)CN(CCO)CCO,Inactive,
102-76-1,C(C)(=O)OC(COC(C)=O)COC(C)=O,Inactive,
102-82-9,C(CCC)N(CCCC)CCCC,Inactive,
103-23-1,C(=O)(CCCCC(=O)OCC(CCCC)CC)OCC(CCCC)CC,Inactive,
103-24-2,C(=O)(CCCCCCCC(=O)OCC(CCCC)CC)OCC(CCCC)CC,Inactive,
103-33-3,c1(N=Nc2ccccc2)ccccc1,Inactive,
103-65-1,c1(CCC)ccccc1,Inactive,
103-69-5,c1(NCC)ccccc1,Active,
103-90-2,c1(O)ccc(NC(C)=O)cc1,Inactive,
104-51-8,c1(CCCC)ccccc1,Inactive,
104-67-6,C1(=O)CCC(CCCCCCC)O1,Inactive,
104-76-7,C(CCCC)(CC)CO,Inactive,
105-54-4,C(=O)(CCC)OCC,Inactive,
105-60-2,C1(=O)CCCCCN1,Inactive,
105-67-9,c1(O)c(C)cc(C)cc1,Active,
105-99-7,C(=O)(CCCCC(=O)OCCCC)OCCCC,Inactive,
106-22-9,C(C)(C)=CCCC(C)CCO,Inactive,
106-27-4,C(=O)(CCC)OCCC(C)C,Inactive,
106-30-9,C(=O)(CCCCCC)OCC,Inactive,
106-44-5,c1(O)ccc(C)cc1,Inactive,
106-46-7,c1(Cl)ccc(Cl)cc1,Inactive,
106-47-8,c1(Cl)ccc(N)cc1,Active,
106-49-0,c1(N)ccc(C)cc1,Active,
106-65-0,C(=O)(CCC(=O)OC)OC,Inactive,
106-87-6,C1(C2CC3C(CC2)O3)CO1,Inactive,
107-07-3,C(Cl)CO,Inactive,
107-18-6,C(=C)CO,Inactive,
107-21-1,C(O)CO,Inactive,
107-41-5,C(C)(C)(O)CC(C)O,Inactive,
107-88-0,C(C)(O)CCO,Inactive,
107-92-6,C(=O)(O)CCC,Inactive,
107-98-2,C(C)(O)COC,Inactive,
108-01-0,C(O)CN(C)C,Inactive,
108-11-2,C(C)(O)CC(C)C,Inactive,
108-44-1,c1(N)cc(C)ccc1,Active,
108-45-2,c1(N)cc(N)ccc1,Active,
108-46-3,c1(O)cc(O)ccc1,Active,
108-59-8,C(=O)(CC(=O)OC)OC,Inactive,
108-67-8,c1(C)cc(C)cc(C)c1,Inactive,
108-80-5,c1(O)nc(O)nc(O)n1,Inactive,
108-91-8,C1(N)CCCCC1,Inactive,
108-93-0,C1(O)CCCCC1,Inactive,
